"id"	"parent_id/id"	"parent_persentage"	"name"	"tilt_azimuth_ids/id"	"zip_id/id"
				"tilt_azimuth_738"	
				"tilt_azimuth_739"	
				"tilt_azimuth_740"	
				"tilt_azimuth_741"	
				"tilt_azimuth_742"	
				"tilt_azimuth_743"	
				"tilt_azimuth_744"	
				"tilt_azimuth_745"	
				"tilt_azimuth_746"	
				"tilt_azimuth_747"	
				"tilt_azimuth_748"	
				"tilt_azimuth_749"	
				"tilt_azimuth_750"	
				"tilt_azimuth_751"	
				"tilt_azimuth_752"	
				"tilt_azimuth_753"	
				"tilt_azimuth_754"	
				"tilt_azimuth_755"	
				"tilt_azimuth_756"	
				"tilt_azimuth_757"	
				"tilt_azimuth_758"	
				"tilt_azimuth_759"	
				"tilt_azimuth_760"	
				"tilt_azimuth_761"	
				"tilt_azimuth_762"	
				"tilt_azimuth_763"	
				"tilt_azimuth_764"	
				"tilt_azimuth_765"	
				"tilt_azimuth_766"	
				"tilt_azimuth_767"	
				"tilt_azimuth_768"	
				"tilt_azimuth_769"	
				"tilt_azimuth_770"	
				"tilt_azimuth_771"	
				"tilt_azimuth_772"	
				"tilt_azimuth_773"	
				"tilt_azimuth_774"	
				"tilt_azimuth_775"	
				"tilt_azimuth_776"	
				"tilt_azimuth_777"	
				"tilt_azimuth_778"	
				"tilt_azimuth_779"	
				"tilt_azimuth_780"	
				"tilt_azimuth_781"	
				"tilt_azimuth_782"	
				"tilt_azimuth_783"	
				"tilt_azimuth_784"	
				"tilt_azimuth_785"	
				"tilt_azimuth_786"	
				"tilt_azimuth_787"	
				"tilt_azimuth_788"	
				"tilt_azimuth_789"	
				"tilt_azimuth_790"	
				"tilt_azimuth_791"	
				"tilt_azimuth_792"	
				"tilt_azimuth_793"	
				"tilt_azimuth_794"	
				"tilt_azimuth_795"	
				"tilt_azimuth_796"	
				"tilt_azimuth_797"	
				"tilt_azimuth_798"	
				"tilt_azimuth_799"	
				"tilt_azimuth_800"	
				"tilt_azimuth_801"	
				"tilt_azimuth_802"	
				"tilt_azimuth_803"	
				"tilt_azimuth_804"	
				"tilt_azimuth_805"	
				"tilt_azimuth_806"	
				"tilt_azimuth_807"	
				"tilt_azimuth_808"	
				"tilt_azimuth_809"	
				"tilt_azimuth_810"	
				"tilt_azimuth_811"	
				"tilt_azimuth_812"	
				"tilt_azimuth_813"	
				"tilt_azimuth_814"	
				"tilt_azimuth_815"	
				"tilt_azimuth_816"	
				"tilt_azimuth_817"	
				"tilt_azimuth_818"	
				"tilt_azimuth_819"	
				"tilt_azimuth_820"	
				"tilt_azimuth_821"	
				"tilt_azimuth_822"	
				"tilt_azimuth_823"	
				"tilt_azimuth_824"	
				"tilt_azimuth_825"	
				"tilt_azimuth_826"	
				"tilt_azimuth_827"	
				"tilt_azimuth_828"	
				"tilt_azimuth_829"	
				"tilt_azimuth_830"	
				"tilt_azimuth_831"	
				"tilt_azimuth_832"	
				"tilt_azimuth_833"	
				"tilt_azimuth_834"	
				"tilt_azimuth_835"	
				"tilt_azimuth_836"	
				"tilt_azimuth_837"	
				"tilt_azimuth_838"	
				"tilt_azimuth_839"	
				"tilt_azimuth_840"	
				"tilt_azimuth_841"	
				"tilt_azimuth_842"	
				"tilt_azimuth_843"	
				"tilt_azimuth_844"	
				"tilt_azimuth_845"	
				"tilt_azimuth_846"	
				"tilt_azimuth_847"	
				"tilt_azimuth_848"	
				"tilt_azimuth_849"	
				"tilt_azimuth_850"	
				"tilt_azimuth_851"	
				"tilt_azimuth_852"	
				"tilt_azimuth_853"	
				"tilt_azimuth_854"	
				"tilt_azimuth_855"	
				"tilt_azimuth_856"	
				"tilt_azimuth_857"	
				"tilt_azimuth_858"	
				"tilt_azimuth_859"	
				"tilt_azimuth_860"	
				"tilt_azimuth_861"	
				"tilt_azimuth_862"	
				"tilt_azimuth_863"	
				"tilt_azimuth_864"	
"insolation_incident_yearly_7"			"Fresno"	"tilt_azimuth_865"	
				"tilt_azimuth_866"	
				"tilt_azimuth_867"	
				"tilt_azimuth_868"	
				"tilt_azimuth_869"	
				"tilt_azimuth_870"	
				"tilt_azimuth_871"	
				"tilt_azimuth_872"	
				"tilt_azimuth_873"	
				"tilt_azimuth_874"	
				"tilt_azimuth_875"	
				"tilt_azimuth_876"	
				"tilt_azimuth_877"	
				"tilt_azimuth_878"	
				"tilt_azimuth_879"	
				"tilt_azimuth_880"	
				"tilt_azimuth_881"	
				"tilt_azimuth_882"	
				"tilt_azimuth_883"	
				"tilt_azimuth_884"	
				"tilt_azimuth_885"	
				"tilt_azimuth_886"	
				"tilt_azimuth_887"	
				"tilt_azimuth_888"	
				"tilt_azimuth_889"	
				"tilt_azimuth_890"	
				"tilt_azimuth_891"	
				"tilt_azimuth_892"	
				"tilt_azimuth_893"	
				"tilt_azimuth_894"	
				"tilt_azimuth_895"	
				"tilt_azimuth_896"	
				"tilt_azimuth_897"	
				"tilt_azimuth_898"	
				"tilt_azimuth_899"	
				"tilt_azimuth_900"	
				"tilt_azimuth_901"	
				"tilt_azimuth_902"	
